ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|d101592c32fd22a47390bd865ea964bb|2022-01-02|03:07:10|1641092830|gas_transport|12.26|1|fraud_Emard Inc|39.257769|-90.853817
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|1d1d038f95f7dbb9789e9bacfe5590a9|2022-01-02|03:07:01|1641092821|grocery_pos|294.96|1|fraud_Heidenreich PLC|38.676665|-90.010993
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|1f10e94f686c606b221d93ee1f515af7|2022-01-02|03:55:01|1641095701|grocery_pos|296.05|1|fraud_Heller, Gutmann and Zieme|38.256213|-89.365734
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|0480adf267b0add6556aac6c7222d03b|2022-01-02|01:29:45|1641086985|misc_net|279.88|1|fraud_Herman, Treutel and Dickens|38.572376|-90.687004
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|51a03069a91e1fc55823ef50b9f56500|2022-01-02|01:57:20|1641088640|grocery_pos|271.45|1|fraud_Bauch-Raynor|38.804692|-89.650738
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|9d719ebffb3e40c9434fe0b36a428f40|2022-01-02|03:53:35|1641095615|grocery_pos|793.14|1|fraud_Cartwright-Harris|38.128402|-90.487167
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|e15994c6b682677bd2793654ad3db2c0|2022-01-03|22:50:20|1641250220|shopping_pos|7.91|1|fraud_Kris-Padberg|39.716399|-89.810844
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|dc0c81aacf6d482ef9b1afe72f39babf|2022-01-02|23:55:48|1641167748|misc_pos|891.40|1|fraud_Block Group|38.602300|-90.075448
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|8c2c12fa8a445061e64227415a4e43ed|2022-01-06|02:02:38|1641434558|grocery_pos|65.23|0|fraud_Bogisich Inc|38.270796|-89.900940
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|102a8fb2dd3381d5594d3ad0489ecdb1|2022-01-09|08:01:02|1641715262|misc_net|47.60|0|fraud_Huel Ltd|39.161324|-90.703405
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|90f7d836a3329e92fc643aff33d7e41e|2022-01-06|01:02:34|1641430954|grocery_pos|67.50|0|fraud_Heidenreich PLC|38.994576|-90.582632
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|43d0c4b3af3b3fcf871fcffe761f0c2c|2022-01-09|07:54:12|1641714852|misc_net|63.26|0|fraud_Volkman Ltd|38.703164|-89.299927
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|fb587c20fb641b38371e24d66709d75b|2022-01-01|06:47:30|1641019650|gas_transport|58.58|0|fraud_Friesen-D'Amore|39.418307|-90.926003
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|3a5f2927123e5209a084f4351e7887b8|2022-01-05|02:56:55|1641351415|grocery_net|96.14|0|fraud_Cassin-Harvey|38.573252|-90.557240
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Granite City|IL|62040|38.7261|-90.1106|43735|Medical laboratory scientific officer|1980-05-22|888335239225|adults_2550_male_urban.json|0b79ae357bbe509383e1868e25898d75|2022-01-06|00:07:42|1641427662|grocery_pos|70.96|0|fraud_Rutherford-Mertz|37.733191|-89.568362
