ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|d101592c32fd22a47390bd865ea964bb|2022-01-20|03:39:11|1642649951|gas_transport|12.26|1|fraud_Conroy-Cruickshank|44.624469|-122.036817
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|1d1d038f95f7dbb9789e9bacfe5590a9|2022-01-20|03:19:59|1642648799|grocery_pos|294.96|1|fraud_Miller-Hauck|44.043365|-121.193993
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|1f10e94f686c606b221d93ee1f515af7|2022-01-20|22:03:33|1642716213|misc_net|296.05|1|fraud_Bogisich-Homenick|43.622913|-120.548734
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|0480adf267b0add6556aac6c7222d03b|2022-01-21|16:43:34|1642783414|misc_net|279.88|1|fraud_Parisian, Schiller and Altenwerth|43.939076|-121.870004
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|51a03069a91e1fc55823ef50b9f56500|2022-01-21|20:17:28|1642796248|shopping_pos|746.33|1|fraud_Kris-Padberg|44.171392|-120.833738
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|9d719ebffb3e40c9434fe0b36a428f40|2022-01-21|22:35:19|1642804519|shopping_net|978.33|1|fraud_Terry-Huel|43.495102|-121.670167
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|e15994c6b682677bd2793654ad3db2c0|2022-01-20|23:06:02|1642719962|grocery_pos|992.64|1|fraud_Kunze Inc|45.083099|-120.993844
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|dc0c81aacf6d482ef9b1afe72f39babf|2022-01-20|20:45:02|1642711502|grocery_pos|1041.31|1|fraud_Kuhic Inc|43.969000|-121.258448
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|8c2c12fa8a445061e64227415a4e43ed|2022-01-09|09:55:16|1641722116|misc_pos|98.75|0|fraud_Dickinson Ltd|43.884372|-120.950220
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|102a8fb2dd3381d5594d3ad0489ecdb1|2022-01-04|05:46:08|1641275168|grocery_pos|59.00|0|fraud_Pacocha-O'Reilly|43.692794|-121.661246
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Bend|OR|97701|44.0928|-121.2936|105390|International aid/development worker|1960-05-30|718172762479|adults_50up_male_urban.json|90f7d836a3329e92fc643aff33d7e41e|2022-01-10|07:01:56|1641798116|shopping_net|84.27|0|fraud_Stanton, Jakubowski and Baumbach|44.596529|-122.148514
