ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|d101592c32fd22a47390bd865ea964bb|2022-01-19|03:07:45|1642561665|grocery_pos|11.51|1|fraud_Goldner, Kovacek and Abbott|36.470096|-94.431708
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|1d1d038f95f7dbb9789e9bacfe5590a9|2022-01-19|00:19:12|1642551552|misc_net|9.01|1|fraud_Ferry, Lynch and Kautzer|37.506362|-95.107998
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|1f10e94f686c606b221d93ee1f515af7|2022-01-19|01:39:43|1642556383|grocery_pos|309.17|1|fraud_Kuhic Inc|36.669933|-93.520001
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|0480adf267b0add6556aac6c7222d03b|2022-01-19|02:09:39|1642558179|gas_transport|307.78|1|fraud_Torp-Labadie|37.346256|-94.634100
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|51a03069a91e1fc55823ef50b9f56500|2022-01-19|01:02:52|1642554172|grocery_net|283.75|1|fraud_Roob LLC|37.081652|-95.268292
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|9d719ebffb3e40c9434fe0b36a428f40|2022-01-19|00:49:01|1642553341|misc_net|298.93|1|fraud_Rippin, Kub and Mann|36.495895|-94.834129
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|e15994c6b682677bd2793654ad3db2c0|2022-01-19|03:59:18|1642564758|grocery_pos|288.54|1|fraud_Bailey-Morar|37.223117|-95.050071
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|dc0c81aacf6d482ef9b1afe72f39babf|2022-01-19|03:21:38|1642562498|grocery_pos|634.15|1|fraud_Murray-Smitham|36.486935|-95.368314
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|902ca70f17a510d08d621e062389c409|2022-01-19|02:10:42|1642558242|grocery_pos|831.81|1|fraud_McDermott-Weimann|37.308706|-95.052416
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|c97554fe151319585ec93f7f5ea0f27d|2022-01-20|22:10:53|1642716653|misc_net|796.88|1|fraud_Jaskolski-Vandervort|37.857340|-93.791029
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|38ce6c9f6982226b4fb58a1b3d69134f|2022-01-20|21:57:34|1642715854|misc_pos|852.56|1|fraud_Lehner, Reichert and Mills|36.188215|-95.034291
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|fbb59e52c437d994fccc7fc06020c648|2022-01-20|22:27:16|1642717636|shopping_pos|7.60|1|fraud_Swaniawski, Lowe and Robel|37.384456|-95.081826
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|002ecc63713e894ceae77de3ee4904b8|2022-01-20|22:47:31|1642718851|misc_net|7.70|1|fraud_Klocko LLC|36.311124|-93.639272
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|0a8220cfe7cda06f77ace2515fb20a18|2022-01-20|23:41:47|1642722107|shopping_pos|840.07|1|fraud_Baumbach, Strosin and Nicolas|37.188586|-94.564958
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|3789a4e035c65ad02cc7f7c44bbeb56c|2022-01-20|23:27:01|1642721221|misc_pos|875.85|1|fraud_Turner, Ruecker and Parisian|37.615739|-93.895306
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|4a65e9c7c19f3b218473683a9cc5c6ec|2022-01-02|02:03:38|1641089018|gas_transport|42.68|0|fraud_Ledner-Pfannerstill|36.673855|-94.297882
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|3ee63b2e609eda7dfb778a183a0f48a5|2022-01-04|10:09:50|1641290990|gas_transport|66.77|0|fraud_Corwin-Collins|37.069346|-94.739909
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|1294f46ea373d22adee1582638594e8c|2022-01-07|06:55:00|1641538500|grocery_pos|63.20|0|fraud_Bauch-Raynor|37.199676|-95.000855
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|4d9e0573a631ac19ec1cec71c4d67c84|2022-01-02|01:01:41|1641085301|gas_transport|65.40|0|fraud_Christiansen, Goyette and Schamberger|37.464071|-95.506917
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|356d593596037a4369909bf53c5c4cf3|2022-01-06|02:53:52|1641437632|grocery_net|47.34|0|fraud_Kutch Group|37.897650|-94.433396
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Joplin|MO|64804|37.0465|-94.5103|72274|Seismic interpreter|2001-12-26|947268892251|young_adults_female_urban.json|864ef29fda5d4bee19900b23fdd0b7ad|2022-01-01|05:25:25|1641014725|gas_transport|59.54|0|fraud_Brekke and Sons|37.485360|-94.026400
